date,lat,lon,tmax
1970-01-01,41.5,-71.5,-1.8674095
1970-01-01,41.5,-70.5,-0.41307735
1970-01-01,42.5,-71.5,-4.0451603
1970-01-01,42.5,-70.5,-1.7064836
1970-01-02,41.5,-71.5,-2.4578173
1970-01-02,41.5,-70.5,-1.1934199
1970-01-02,42.5,-71.5,-4.55161
1970-01-02,42.5,-70.5,-2.3463862
1970-01-03,41.5,-71.5,-1.6274211
1970-01-03,41.5,-70.5,-0.56164646
1970-01-03,42.5,-71.5,-4.317264
1970-01-03,42.5,-70.5,-1.9345145
1970-01-04,41.5,-71.5,-2.2194476
1970-01-04,41.5,-70.5,-1.1169469
1970-01-04,42.5,-71.5,-4.878186
1970-01-04,42.5,-70.5,-2.5596569
1970-01-05,41.5,-71.5,-1.6178777
1970-01-05,41.5,-70.5,-0.73219323
1970-01-05,42.5,-71.5,-4.2066426
1970-01-05,42.5,-70.5,-1.9535918
1970-01-06,41.5,-71.5,-0.9086597
1970-01-06,41.5,-70.5,-0.30209517
1970-01-06,42.5,-71.5,-3.2563772
1970-01-06,42.5,-70.5,-1.2391961
1970-01-07,41.5,-71.5,-2.6857214
1970-01-07,41.5,-70.5,-1.9689467
1970-01-07,42.5,-71.5,-4.7116756
1970-01-07,42.5,-70.5,-2.8870177
1970-01-08,41.5,-71.5,-4.261713
1970-01-08,41.5,-70.5,-3.4140348
1970-01-08,42.5,-71.5,-5.71481
1970-01-08,42.5,-70.5,-3.8386338
1970-01-09,41.5,-71.5,-6.157748
1970-01-09,41.5,-70.5,-4.7027245
1970-01-09,42.5,-71.5,-6.581035
1970-01-09,42.5,-70.5,-4.446023
1970-01-10,41.5,-71.5,-4.103738
1970-01-10,41.5,-70.5,-3.3163755
1970-01-10,42.5,-71.5,-6.319207
1970-01-10,42.5,-70.5,-4.310538
1970-01-11,41.5,-71.5,-3.0285723
1970-01-11,41.5,-70.5,-2.3265033
1970-01-11,42.5,-71.5,-5.213023
1970-01-11,42.5,-70.5,-3.308688
1970-01-12,41.5,-71.5,-3.3934734
1970-01-12,41.5,-70.5,-2.7003593
1970-01-12,42.5,-71.5,-5.5147223
1970-01-12,42.5,-70.5,-3.680777
1970-01-13,41.5,-71.5,-2.3823633
1970-01-13,41.5,-70.5,-1.6860459
1970-01-13,42.5,-71.5,-5.1335635
1970-01-13,42.5,-70.5,-2.88835
1970-01-14,41.5,-71.5,-3.7908447
1970-01-14,41.5,-70.5,-3.1300092
1970-01-14,42.5,-71.5,-5.840658
1970-01-14,42.5,-70.5,-4.115457
1970-01-15,41.5,-71.5,-5.255991
1970-01-15,41.5,-70.5,-4.1118317
1970-01-15,42.5,-71.5,-6.9169207
1970-01-15,42.5,-70.5,-4.4656553
1970-01-16,41.5,-71.5,-1.7444701
1970-01-16,41.5,-70.5,-1.0665061
1970-01-16,42.5,-71.5,-3.4753933
1970-01-16,42.5,-70.5,-1.1452088
1970-01-17,41.5,-71.5,3.0598145
1970-01-17,41.5,-70.5,3.1957948
1970-01-17,42.5,-71.5,1.4498737
1970-01-17,42.5,-70.5,2.9788942
1970-01-18,41.5,-71.5,2.4183986
1970-01-18,41.5,-70.5,1.9800328
1970-01-18,42.5,-71.5,0.8731563
1970-01-18,42.5,-70.5,1.2912722
1970-01-19,41.5,-71.5,-2.293384
1970-01-19,41.5,-70.5,-2.4885743
1970-01-19,42.5,-71.5,-4.752801
1970-01-19,42.5,-70.5,-4.2382116
1970-01-20,41.5,-71.5,-4.7739706
1970-01-20,41.5,-70.5,-4.2064967
1970-01-20,42.5,-71.5,-6.499384
1970-01-20,42.5,-70.5,-5.1824665
1970-01-21,41.5,-71.5,-5.627418
1970-01-21,41.5,-70.5,-4.9145155
1970-01-21,42.5,-71.5,-7.447512
1970-01-21,42.5,-70.5,-6.2868743
1970-01-22,41.5,-71.5,-6.7690744
1970-01-22,41.5,-70.5,-5.7486343
1970-01-22,42.5,-71.5,-8.766797
1970-01-22,42.5,-70.5,-6.99827
1970-01-23,41.5,-71.5,-3.5745547
1970-01-23,41.5,-70.5,-2.6849523
