date,lat,lon,tmin
1970-01-01,41.5,-71.5,-13.339427
1970-01-01,41.5,-70.5,-11.689693
1970-01-01,42.5,-71.5,-17.526041
1970-01-01,42.5,-70.5,-13.71982
1970-01-02,41.5,-71.5,-13.575712
1970-01-02,41.5,-70.5,-11.88788
1970-01-02,42.5,-71.5,-17.618181
1970-01-02,42.5,-70.5,-14.021053
1970-01-03,41.5,-71.5,-14.711481
1970-01-03,41.5,-70.5,-12.899895
1970-01-03,42.5,-71.5,-18.57263
1970-01-03,42.5,-70.5,-14.675289
1970-01-04,41.5,-71.5,-13.518766
1970-01-04,41.5,-70.5,-12.162165
1970-01-04,42.5,-71.5,-17.489311
1970-01-04,42.5,-70.5,-13.894915
1970-01-05,41.5,-71.5,-14.627806
1970-01-05,41.5,-70.5,-13.202966
1970-01-05,42.5,-71.5,-18.538467
1970-01-05,42.5,-70.5,-15.277143
1970-01-06,41.5,-71.5,-12.023812
1970-01-06,41.5,-70.5,-10.534773
1970-01-06,42.5,-71.5,-15.690887
1970-01-06,42.5,-70.5,-12.156845
1970-01-07,41.5,-71.5,-11.606113
1970-01-07,41.5,-70.5,-10.607401
1970-01-07,42.5,-71.5,-14.198884
1970-01-07,42.5,-70.5,-11.419846
1970-01-08,41.5,-71.5,-17.299313
1970-01-08,41.5,-70.5,-15.942186
1970-01-08,42.5,-71.5,-20.095062
1970-01-08,42.5,-70.5,-16.834496
1970-01-09,41.5,-71.5,-18.127928
1970-01-09,41.5,-70.5,-16.67601
1970-01-09,42.5,-71.5,-19.231396
1970-01-09,42.5,-70.5,-16.330969
1970-01-10,41.5,-71.5,-16.495815
1970-01-10,41.5,-70.5,-15.363432
1970-01-10,42.5,-71.5,-17.418076
1970-01-10,42.5,-70.5,-14.820141
1970-01-11,41.5,-71.5,-14.541509
1970-01-11,41.5,-70.5,-13.863106
1970-01-11,42.5,-71.5,-16.602924
1970-01-11,42.5,-70.5,-14.441043
1970-01-12,41.5,-71.5,-13.8964
1970-01-12,41.5,-70.5,-14.006939
