,STATION,DATE,HourlyWetBulbTemperature,HourlyRelativeHumidity,HourlyDryBulbTemperature
0,72509014739,2015-01-01T00:54:00,18.0,50.0,22
1,72509014739,2015-01-01T01:00:00,18.0,50.0,22
2,72509014739,2015-01-01T01:54:00,18.0,50.0,22
3,72509014739,2015-01-01T02:54:00,18.0,50.0,22
4,72509014739,2015-01-01T03:54:00,19.0,46.0,24
5,72509014739,2015-01-01T04:00:00,19.0,46.0,24
6,72509014739,2015-01-01T04:54:00,18.0,52.0,22
7,72509014739,2015-01-01T05:54:00,19.0,48.0,23
8,72509014739,2015-01-01T06:54:00,19.0,50.0,23
9,72509014739,2015-01-01T07:00:00,19.0,50.0,23
10,72509014739,2015-01-01T07:54:00,18.0,52.0,22
11,72509014739,2015-01-01T08:54:00,20.0,44.0,25
12,72509014739,2015-01-01T09:54:00,22.0,39.0,28
13,72509014739,2015-01-01T10:00:00,22.0,39.0,28
14,72509014739,2015-01-01T10:54:00,23.0,34.0,30
15,72509014739,2015-01-01T11:54:00,24.0,35.0,31
16,72509014739,2015-01-01T12:54:00,25.0,33.0,32
17,72509014739,2015-01-01T13:00:00,25.0,33.0,32
18,72509014739,2015-01-01T13:54:00,25.0,32.0,33
19,72509014739,2015-01-01T14:54:00,25.0,33.0,33
20,72509014739,2015-01-01T15:54:00,24.0,36.0,31
21,72509014739,2015-01-01T16:00:00,24.0,36.0,31
22,72509014739,2015-01-01T16:54:00,24.0,38.0,31
23,72509014739,2015-01-01T17:54:00,24.0,41.0,30
24,72509014739,2015-01-01T18:54:00,25.0,40.0,31
25,72509014739,2015-01-01T19:00:00,25.0,40.0,31
26,72509014739,2015-01-01T19:54:00,24.0,41.0,30
27,72509014739,2015-01-01T20:54:00,25.0,47.0,30
28,72509014739,2015-01-01T21:54:00,25.0,47.0,31
29,72509014739,2015-01-01T22:00:00,25.0,47.0,31
30,72509014739,2015-01-01T22:54:00,26.0,52.0,31
31,72509014739,2015-01-01T23:54:00,26.0,54.0,31
32,72509014739,2015-01-01T23:59:00,,,
33,72509014739,2015-01-02T00:54:00,27.0,49.0,33
34,72509014739,2015-01-02T01:00:00,27.0,49.0,33
35,72509014739,2015-01-02T01:54:00,27.0,49.0,33
36,72509014739,2015-01-02T02:54:00,27.0,52.0,32
37,72509014739,2015-01-02T03:54:00,27.0,52.0,32
38,72509014739,2015-01-02T04:00:00,27.0,52.0,32
39,72509014739,2015-01-02T04:54:00,27.0,50.0,32
40,72509014739,2015-01-02T05:54:00,28.0,46.0,34
41,72509014739,2015-01-02T06:54:00,28.0,48.0,34
42,72509014739,2015-01-02T07:00:00,28.0,48.0,34
43,72509014739,2015-01-02T07:54:00,27.0,49.0,33
44,72509014739,2015-01-02T08:54:00,30.0,46.0,36
45,72509014739,2015-01-02T09:54:00,31.0,43.0,38
46,72509014739,2015-01-02T10:00:00,31.0,43.0,38
47,72509014739,2015-01-02T10:54:00,31.0,39.0,39
48,72509014739,2015-01-02T11:54:00,31.0,43.0,38
49,72509014739,2015-01-02T12:54:00,32.0,40.0,40
50,72509014739,2015-01-02T13:00:00,32.0,40.0,40
51,72509014739,2015-01-02T13:54:00,32.0,38.0,40
52,72509014739,2015-01-02T14:54:00,31.0,41.0,39
53,72509014739,2015-01-02T15:54:00,31.0,41.0,38
54,72509014739,2015-01-02T16:00:00,31.0,41.0,38
55,72509014739,2015-01-02T16:54:00,29.0,44.0,36
56,72509014739,2015-01-02T17:54:00,28.0,42.0,35
57,72509014739,2015-01-02T18:54:00,28.0,44.0,34
58,72509014739,2015-01-02T19:00:00,28.0,44.0,34
59,72509014739,2015-01-02T19:54:00,28.0,44.0,34
60,72509014739,2015-01-02T20:54:00,27.0,45.0,33
61,72509014739,2015-01-02T21:54:00,27.0,43.0,33
62,72509014739,2015-01-02T22:00:00,27.0,43.0,33
63,72509014739,2015-01-02T22:54:00,27.0,43.0,33
64,72509014739,2015-01-02T23:54:00,25.0,43.0,31
65,72509014739,2015-01-02T23:59:00,,,
66,72509014739,2015-01-03T00:54:00,22.0,51.0,27
67,72509014739,2015-01-03T01:00:00,22.0,51.0,27
68,72509014739,2015-01-03T01:54:00,22.0,51.0,26
69,72509014739,2015-01-03T02:54:00,20.0,55.0,24
70,72509014739,2015-01-03T03:54:00,20.0,55.0,24
71,72509014739,2015-01-03T04:00:00,20.0,55.0,24
72,72509014739,2015-01-03T04:54:00,20.0,52.0,24
73,72509014739,2015-01-03T05:54:00,19.0,57.0,23
74,72509014739,2015-01-03T06:54:00,19.0,55.0,23
75,72509014739,2015-01-03T07:00:00,19.0,55.0,23
76,72509014739,2015-01-03T07:54:00,19.0,55.0,23
77,72509014739,2015-01-03T08:54:00,20.0,50.0,24
78,72509014739,2015-01-03T09:54:00,22.0,51.0,26
79,72509014739,2015-01-03T10:00:00,22.0,51.0,26
80,72509014739,2015-01-03T10:54:00,23.0,51.0,28
81,72509014739,2015-01-03T11:54:00,24.0,54.0,29
82,72509014739,2015-01-03T12:54:00,25.0,56.0,29
83,72509014739,2015-01-03T13:00:00,25.0,56.0,29
84,72509014739,2015-01-03T13:54:00,26.0,56.0,30
85,72509014739,2015-01-03T14:54:00,26.0,56.0,30
86,72509014739,2015-01-03T15:54:00,26.0,58.0,30
87,72509014739,2015-01-03T16:00:00,26.0,58.0,30
88,72509014739,2015-01-03T16:54:00,27.0,61.0,31
89,72509014739,2015-01-03T17:20:00,27.0,69.0,30
90,72509014739,2015-01-03T17:54:00,28.0,82.0,30
91,72509014739,2015-01-03T18:16:00,29.0,86.0,30
92,72509014739,2015-01-03T18:29:00,29.0,93.0,30
93,72509014739,2015-01-03T18:37:00,29.0,93.0,30
94,72509014739,2015-01-03T18:54:00,31.0,96.0,31
95,72509014739,2015-01-03T19:00:00,31.0,96.0,31
96,72509014739,2015-01-03T19:26:00,31.0,93.0,32
97,72509014739,2015-01-03T19:44:00,33.0,93.0,34
98,72509014739,2015-01-03T19:54:00,33.0,96.0,33
99,72509014739,2015-01-03T20:43:00,33.0,93.0,34
100,72509014739,2015-01-03T20:54:00,34.0,97.0,34
101,72509014739,2015-01-03T21:07:00,34.0,100.0,34
102,72509014739,2015-01-03T21:54:00,35.0,96.0,35
103,72509014739,2015-01-03T22:00:00,35.0,96.0,35
104,72509014739,2015-01-03T22:12:00,35.0,93.0,36
105,72509014739,2015-01-03T22:54:00,36.0,93.0,37
106,72509014739,2015-01-03T23:54:00,37.0,96.0,37
107,72509014739,2015-01-03T23:59:00,,,
108,72509014739,2015-01-04T00:54:00,38.0,100.0,38
109,72509014739,2015-01-04T01:00:00,38.0,100.0,38
110,72509014739,2015-01-04T01:03:00,38.0,93.0,39
111,72509014739,2015-01-04T01:54:00,40.0,97.0,40
112,72509014739,2015-01-04T02:46:00,40.0,93.0,41
113,72509014739,2015-01-04T02:54:00,41.0,100.0,41
114,72509014739,2015-01-04T03:49:00,43.0,100.0,43
115,72509014739,2015-01-04T03:54:00,42.0,100.0,42
116,72509014739,2015-01-04T04:00:00,42.0,100.0,42
117,72509014739,2015-01-04T04:09:00,41.0,100.0,41
118,72509014739,2015-01-04T04:36:00,42.0,93.0,43
119,72509014739,2015-01-04T04:54:00,41.0,96.0,41
120,72509014739,2015-01-04T05:54:00,40.0,97.0,40
121,72509014739,2015-01-04T06:52:00,39.0,100.0,39
122,72509014739,2015-01-04T06:54:00,40.0,97.0,40
123,72509014739,2015-01-04T07:00:00,40.0,97.0,40
124,72509014739,2015-01-04T07:45:00,37.0,93.0,37
125,72509014739,2015-01-04T07:54:00,36.0,97.0,36
126,72509014739,2015-01-04T08:54:00,36.0,97.0,36
127,72509014739,2015-01-04T09:31:00,35.0,93.0,36
128,72509014739,2015-01-04T09:54:00,35.0,93.0,36
129,72509014739,2015-01-04T10:00:00,35.0,93.0,36
130,72509014739,2015-01-04T10:54:00,36.0,93.0,37
131,72509014739,2015-01-04T11:54:00,37.0,100.0,37
132,72509014739,2015-01-04T12:54:00,40.0,93.0,41
133,72509014739,2015-01-04T13:00:00,40.0,93.0,41
134,72509014739,2015-01-04T13:54:00,40.0,93.0,41
135,72509014739,2015-01-04T14:08:00,39.0,100.0,39
136,72509014739,2015-01-04T14:10:00,39.0,100.0,39
137,72509014739,2015-01-04T14:54:00,40.0,97.0,40
138,72509014739,2015-01-04T15:54:00,40.0,97.0,40
139,72509014739,2015-01-04T16:00:00,40.0,97.0,40
140,72509014739,2015-01-04T16:54:00,40.0,100.0,40
141,72509014739,2015-01-04T16:59:00,39.0,100.0,39
142,72509014739,2015-01-04T17:15:00,43.0,100.0,43
143,72509014739,2015-01-04T17:30:00,43.0,100.0,43
144,72509014739,2015-01-04T17:54:00,43.0,97.0,43
145,72509014739,2015-01-04T18:54:00,46.0,96.0,46
146,72509014739,2015-01-04T19:00:00,46.0,96.0,46
147,72509014739,2015-01-04T19:54:00,48.0,93.0,49
148,72509014739,2015-01-04T20:27:00,48.0,100.0,48
149,72509014739,2015-01-04T20:54:00,50.0,92.0,51
150,72509014739,2015-01-04T21:09:00,51.0,94.0,52
151,72509014739,2015-01-04T21:54:00,50.0,96.0,51
152,72509014739,2015-01-04T22:00:00,50.0,96.0,51
153,72509014739,2015-01-04T22:54:00,49.0,89.0,51
154,72509014739,2015-01-04T23:54:00,48.0,83.0,50
155,72509014739,2015-01-04T23:59:00,,,
156,72509014739,2015-01-05T00:16:00,44.0,71.0,48
157,72509014739,2015-01-05T00:27:00,42.0,71.0,46
158,72509014739,2015-01-05T00:54:00,42.0,68.0,46
159,72509014739,2015-01-05T01:00:00,42.0,68.0,46
160,72509014739,2015-01-05T01:54:00,39.0,65.0,44
161,72509014739,2015-01-05T02:54:00,38.0,60.0,43
162,72509014739,2015-01-05T03:54:00,36.0,55.0,42
163,72509014739,2015-01-05T04:00:00,36.0,55.0,42
164,72509014739,2015-01-05T04:54:00,35.0,57.0,41
165,72509014739,2015-01-05T05:54:00,34.0,55.0,40
166,72509014739,2015-01-05T06:54:00,33.0,50.0,39
167,72509014739,2015-01-05T07:00:00,33.0,50.0,39
168,72509014739,2015-01-05T07:54:00,30.0,46.0,37
169,72509014739,2015-01-05T08:54:00,30.0,41.0,37
170,72509014739,2015-01-05T09:54:00,28.0,35.0,36
171,72509014739,2015-01-05T10:00:00,28.0,35.0,36
172,72509014739,2015-01-05T10:54:00,28.0,35.0,36
173,72509014739,2015-01-05T11:54:00,26.0,32.0,34
174,72509014739,2015-01-05T12:54:00,26.0,31.0,34
175,72509014739,2015-01-05T13:00:00,26.0,31.0,34
176,72509014739,2015-01-05T13:54:00,27.0,32.0,35
177,72509014739,2015-01-05T14:54:00,23.0,33.0,30
178,72509014739,2015-01-05T15:54:00,21.0,28.0,28
179,72509014739,2015-01-05T16:00:00,21.0,28.0,28
180,72509014739,2015-01-05T16:54:00,19.0,32.0,25
181,72509014739,2015-01-05T17:54:00,18.0,32.0,24
182,72509014739,2015-01-05T18:54:00,17.0,33.0,22
183,72509014739,2015-01-05T19:00:00,17.0,33.0,22
184,72509014739,2015-01-05T19:54:00,16.0,34.0,21
185,72509014739,2015-01-05T20:54:00,15.0,34.0,20
186,72509014739,2015-01-05T21:54:00,14.0,34.0,19
